num_centres,num_gasolineres,temps_hc_ms,temps_hc_std,temps_sa_ms,temps_sa_std,benefici_hc,benefici_hc_std,benefici_sa,benefici_sa_std
10,100,4.710200009867549,1.403237734484164,176.7968334024772,43.76708478397919,78905.33333333333,5364.211612364134,78905.33333333333,5364.211612364134
20,200,5.500166715743641,0.896855757355232,262.59826666985947,14.918865791067033,146541.33333333334,11717.812916903715,146541.33333333334,11717.812916903715
30,300,12.939500040374696,1.8202494515661816,397.87089999299496,10.571488468560212,227730.66666666666,2310.0045214000966,227730.66666666666,2310.0045214000966
40,400,17.071433326539893,0.5755382068608484,541.6631999736031,16.91753328558175,305804.0,8281.66553297101,305804.0,8281.66553297101
50,500,30.801366704205673,1.558689508452879,715.5374999856576,27.890453870534493,379674.6666666667,4586.5197650893815,379674.6666666667,4586.5197650893815
60,600,27.634800023709733,4.183066873983531,973.3257666618252,67.49833585580386,458681.3333333333,11162.706641113327,458681.3333333333,11162.706641113327
70,700,26.9862999751543,10.529313809853432,1069.8525999905542,50.39974391962826,535348.0,17466.364475757397,535348.0,17466.364475757397
80,800,34.1718333074823,6.99405567272648,1083.8776999929298,73.84615293613791,622076.0,13773.389222216392,622076.0,13773.389222216392
90,900,35.45103338547051,7.3873556762070915,1181.709299989355,52.646914196805376,701654.6666666666,19625.700791450876,701654.6666666666,19625.700791450876
100,1000,36.86153333789358,7.794482353670492,1312.0008666301146,87.17024744314868,766644.0,19266.81236392431,766644.0,19266.81236392431
